variable,dropout_loss,ENM,K,Oversampling,Proportion
BOD,0.531613638,MAX,1,Baseline,0.2
COD,0.568560687,MAX,1,Baseline,0.2
Conductivity,0.541694559,MAX,1,Baseline,0.2
DO,0.534285923,MAX,1,Baseline,0.2
pH,0.531854355,MAX,1,Baseline,0.2
SS,0.531844877,MAX,1,Baseline,0.2
TN,0.537771386,MAX,1,Baseline,0.2
TP,0.534109696,MAX,1,Baseline,0.2
BOD,0.498249748,MAX,2,Baseline,0.2
COD,0.544186304,MAX,2,Baseline,0.2
Conductivity,0.508863353,MAX,2,Baseline,0.2
DO,0.512945317,MAX,2,Baseline,0.2
pH,0.510067757,MAX,2,Baseline,0.2
SS,0.508772881,MAX,2,Baseline,0.2
TN,0.516418576,MAX,2,Baseline,0.2
TP,0.512760936,MAX,2,Baseline,0.2
BOD,0.532518897,MAX,3,Baseline,0.2
COD,0.568967626,MAX,3,Baseline,0.2
Conductivity,0.536376618,MAX,3,Baseline,0.2
DO,0.535160417,MAX,3,Baseline,0.2
pH,0.535111524,MAX,3,Baseline,0.2
SS,0.535385331,MAX,3,Baseline,0.2
TN,0.536389246,MAX,3,Baseline,0.2
TP,0.540343565,MAX,3,Baseline,0.2
BOD,0.531277867,MAX,4,Baseline,0.2
COD,0.554281126,MAX,4,Baseline,0.2
Conductivity,0.536600788,MAX,4,Baseline,0.2
DO,0.529532007,MAX,4,Baseline,0.2
pH,0.530208676,MAX,4,Baseline,0.2
SS,0.530525789,MAX,4,Baseline,0.2
TN,0.537077559,MAX,4,Baseline,0.2
TP,0.531904417,MAX,4,Baseline,0.2
BOD,0.470795427,MAX,5,Baseline,0.2
COD,0.502452004,MAX,5,Baseline,0.2
Conductivity,0.47524624,MAX,5,Baseline,0.2
DO,0.484465446,MAX,5,Baseline,0.2
pH,0.479871574,MAX,5,Baseline,0.2
SS,0.490192178,MAX,5,Baseline,0.2
TN,0.483782406,MAX,5,Baseline,0.2
TP,0.488059834,MAX,5,Baseline,0.2
BOD,0.52900193,MAX,6,Baseline,0.2
COD,0.556187477,MAX,6,Baseline,0.2
Conductivity,0.525351169,MAX,6,Baseline,0.2
DO,0.523253765,MAX,6,Baseline,0.2
pH,0.523199636,MAX,6,Baseline,0.2
SS,0.530679925,MAX,6,Baseline,0.2
TN,0.527089324,MAX,6,Baseline,0.2
TP,0.526978483,MAX,6,Baseline,0.2
BOD,0.486809781,MAX,7,Baseline,0.2
COD,0.510643949,MAX,7,Baseline,0.2
Conductivity,0.492033679,MAX,7,Baseline,0.2
DO,0.495905063,MAX,7,Baseline,0.2
pH,0.493723898,MAX,7,Baseline,0.2
SS,0.475423981,MAX,7,Baseline,0.2
TN,0.50049938,MAX,7,Baseline,0.2
TP,0.499628076,MAX,7,Baseline,0.2
BOD,0.518870328,MAX,8,Baseline,0.2
COD,0.545112462,MAX,8,Baseline,0.2
Conductivity,0.523792091,MAX,8,Baseline,0.2
DO,0.516769298,MAX,8,Baseline,0.2
pH,0.516344677,MAX,8,Baseline,0.2
SS,0.519775772,MAX,8,Baseline,0.2
TN,0.523610593,MAX,8,Baseline,0.2
TP,0.521233279,MAX,8,Baseline,0.2
BOD,0.530613221,MAX,9,Baseline,0.2
COD,0.559251134,MAX,9,Baseline,0.2
Conductivity,0.535954023,MAX,9,Baseline,0.2
DO,0.533828394,MAX,9,Baseline,0.2
pH,0.532657143,MAX,9,Baseline,0.2
SS,0.531682946,MAX,9,Baseline,0.2
TN,0.533746155,MAX,9,Baseline,0.2
TP,0.538254178,MAX,9,Baseline,0.2
BOD,0.499790462,MAX,10,Baseline,0.2
COD,0.533875863,MAX,10,Baseline,0.2
Conductivity,0.510447755,MAX,10,Baseline,0.2
DO,0.510272797,MAX,10,Baseline,0.2
pH,0.509888378,MAX,10,Baseline,0.2
SS,0.504398766,MAX,10,Baseline,0.2
TN,0.520229266,MAX,10,Baseline,0.2
TP,0.500590279,MAX,10,Baseline,0.2
BOD,0.472254997,MAX,1,SMOTE,0.2
COD,0.513439845,MAX,1,SMOTE,0.2
Conductivity,0.474607803,MAX,1,SMOTE,0.2
DO,0.478523718,MAX,1,SMOTE,0.2
pH,0.473085366,MAX,1,SMOTE,0.2
SS,0.471981932,MAX,1,SMOTE,0.2
TN,0.474413504,MAX,1,SMOTE,0.2
TP,0.47573297,MAX,1,SMOTE,0.2
BOD,0.467157023,MAX,2,SMOTE,0.2
COD,0.504563418,MAX,2,SMOTE,0.2
Conductivity,0.467468283,MAX,2,SMOTE,0.2
DO,0.478743566,MAX,2,SMOTE,0.2
pH,0.469294015,MAX,2,SMOTE,0.2
SS,0.469796523,MAX,2,SMOTE,0.2
TN,0.472392913,MAX,2,SMOTE,0.2
