,Baetis fuscatus,Limnodrilus gotoi,Hydropsyche kozhantschikovi,Teloganopsis punctisetae,Ephemera orientalis,pH,Conductivity,DO,BOD,COD,SS,TN,TP
observation1,0,1,1,1,1,8.5,187.5,11.25,0.5,2.55,2.1,4.457,0.035
observation2,1,1,1,1,0,8.85,218.5,12.5,0.45,2.95,4.3,2.4885,0.018
observation3,1,1,1,1,1,8.2,175,11.95,0.55,1.95,5.2,3.016,0.0115
observation4,1,1,1,1,1,7.6,154,9.85,0.55,2.35,1,3.8155,0.036
observation5,0,1,1,1,0,8.6,170.5,11.5,0.75,2.15,2.45,2.1085,0.009
observation6,1,1,1,1,0,7.9,194,8.45,1.4,2.35,2.5,3.562,0.0265
observation7,1,1,1,1,1,8.6,132.5,10.95,0.5,3,2.95,2.648,0.0125
observation8,1,1,1,1,0,8.25,183.5,10.4,1.25,2.05,3.75,3.186,0.0125
observation9,1,0,1,1,0,8.45,208.5,11,1.2,4.85,1.8,2.597,0.007
observation10,1,0,1,1,0,8.65,196,10.05,1.1,3.1,3.05,3.048,0.02
observation11,1,1,1,1,1,8.65,199,11,0.85,2.6,3.2,2.67,0.0515
observation12,1,0,1,1,1,7.9,183.5,10.1,1.25,3.25,2.5,2.9175,0.022
observation13,1,1,0,1,0,8.1,219.5,12,1.2,3.75,2.75,2.2455,0.017
observation14,1,0,1,1,1,8.25,218.5,10.4,0.9,1.75,1.75,4.119,0.0195
observation15,0,0,1,0,0,8.35,212,11.6,0.85,3.15,5.75,6.1195,0.1595
observation16,0,0,1,0,0,7.8,180,10.5,0.3,2.1,11.65,4.0745,0.0495
observation17,0,0,1,0,0,8.35,171,13.85,1.35,2.15,14.4,5.2045,0.0255
observation18,1,0,1,0,0,7.6,152,11.7,0.65,3.2,2.2,6.4585,0.0375
observation19,1,0,1,0,0,8.35,134.5,11.4,0.7,3.3,3.1,3.045,0.0245
observation20,1,0,1,0,0,7.7,142.5,8.55,1.3,3.4,4.15,3.293,0.047
observation21,1,1,1,1,0,8.75,139,9.75,1.25,2.95,3.95,4.079,0.029
observation22,1,0,1,0,0,8.15,138,10.7,0.95,2.7,14.75,3.2325,0.0435
observation23,1,0,1,0,0,8.3,144,13.05,0.7,2.75,1.7,3.783,0.0275
observation24,0,0,0,0,0,8.15,185,11.5,1,4.45,2.9,5.4055,0.036
observation25,0,0,1,0,0,7.85,187.5,13,0.85,2.95,12.8,3.8405,0.268
observation26,1,0,0,0,0,7.65,117.5,10.2,0.7,2.85,11.85,3.63,0.0285
observation27,0,0,1,0,0,8.9,218.5,11.05,1.2,4.25,6.95,3.7715,0.0625
observation28,1,0,1,0,0,8.25,183.5,9.85,0.9,3.45,10.7,3.9775,0.0565
observation29,1,1,1,0,0,8.1,206.5,10.8,1.3,3,13.45,3.0985,0.0475
observation30,1,0,0,0,0,8.4,192.5,9.65,0.85,2.65,14.85,4.4455,0.078
observation31,1,0,1,0,0,8.95,218.5,10.1,1,2.35,4,4.334,0.032
observation32,1,0,1,0,0,7.75,158.5,9.05,1,2.15,6.4,3.1225,0.036
observation33,1,1,0,0,0,8.05,168,10.05,0.9,2.8,5.8,2.8755,0.046
observation34,1,1,0,1,0,7.9,190,9.7,1.5,3.55,7.35,4.049,0.05
observation35,1,0,0,0,0,8.2,131,9.85,1.05,3.8,22.9,2.4495,0.085
observation36,0,0,1,0,0,8.45,135,9.3,0.95,3.15,5.55,2.6265,0.0415
observation37,0,0,1,0,0,7.95,202.5,10.6,0.4,2.45,2.8,5.5605,0.14
observation38,1,1,1,0,0,8,159.5,10.6,0.45,1.55,0.9,4.1205,0.0255
observation39,0,1,1,1,0,7.7,174.5,12.35,0.7,2.1,12.3,5.1375,0.0205
observation40,1,0,1,0,0,8.1,108.5,10.45,0.65,2.3,3.1,3.756,0.024
observation41,0,0,1,1,0,8.05,95,9.85,0.8,1.65,1.5,2.9325,0.02
observation42,1,1,1,1,0,8.15,140.5,8.55,0.95,2.6,3.1,4.2375,0.0315
observation43,1,1,1,1,0,7.5,97,9.6,0.9,2,3.45,2.5515,0.0175
observation44,1,1,1,1,0,7.9,146,10.55,1.1,1.95,2.15,5.0875,0.036
observation45,1,1,0,1,0,7.25,128,9.7,0.9,1.75,2.6,3.5525,0.016
observation46,1,0,1,1,0,8.4,228.5,9.55,0.75,1.7,1.6,3.7735,0.0275
observation47,1,1,0,0,0,7.7,130,10.45,0.75,2,1.2,4.0595,0.0235
