,OC,pH,Conductivity,DO,BOD,COD,SS,TN,TP
15,0,8.5,187.5,11.25,0.5,2.55,2.1,4.457,0.035
17,1,8.2,175,11.95,0.55,1.95,5.2,3.016,0.0115
18,1,7.6,154,9.85,0.55,2.35,1,3.8155,0.036
19,0,8.6,170.5,11.5,0.75,2.15,2.45,2.1085,0.009
20,1,7.9,194,8.45,1.4,2.35,2.5,3.562,0.0265
21,1,8.6,132.5,10.95,0.5,3,2.95,2.648,0.0125
22,1,8.25,183.5,10.4,1.25,2.05,3.75,3.186,0.0125
23,1,8.45,208.5,11,1.2,4.85,1.8,2.597,0.007
24,1,8.65,196,10.05,1.1,3.1,3.05,3.048,0.02
25,1,8.65,199,11,0.85,2.6,3.2,2.67,0.0515
26,1,7.9,183.5,10.1,1.25,3.25,2.5,2.9175,0.022
27,1,8.1,219.5,12,1.2,3.75,2.75,2.2455,0.017
28,1,8.25,218.5,10.4,0.9,1.75,1.75,4.119,0.0195
30,0,7.8,180,10.5,0.3,2.1,11.65,4.0745,0.0495
33,1,8.35,134.5,11.4,0.7,3.3,3.1,3.045,0.0245
34,1,7.7,142.5,8.55,1.3,3.4,4.15,3.293,0.047
35,1,8.75,139,9.75,1.25,2.95,3.95,4.079,0.029
36,1,8.15,138,10.7,0.95,2.7,14.75,3.2325,0.0435
40,1,7.65,117.5,10.2,0.7,2.85,11.85,3.63,0.0285
42,1,8.25,183.5,9.85,0.9,3.45,10.7,3.9775,0.0565
43,1,8.1,206.5,10.8,1.3,3,13.45,3.0985,0.0475
44,1,8.4,192.5,9.65,0.85,2.65,14.85,4.4455,0.078
46,1,7.75,158.5,9.05,1,2.15,6.4,3.1225,0.036
47,1,8.05,168,10.05,0.9,2.8,5.8,2.8755,0.046
48,1,7.9,190,9.7,1.5,3.55,7.35,4.049,0.05
50,0,8.45,135,9.3,0.95,3.15,5.55,2.6265,0.0415
66,1,8,159.5,10.6,0.45,1.55,0.9,4.1205,0.0255
68,1,8.1,108.5,10.45,0.65,2.3,3.1,3.756,0.024
69,0,8.05,95,9.85,0.8,1.65,1.5,2.9325,0.02
70,1,8.15,140.5,8.55,0.95,2.6,3.1,4.2375,0.0315
71,1,7.5,97,9.6,0.9,2,3.45,2.5515,0.0175
73,1,7.25,128,9.7,0.9,1.75,2.6,3.5525,0.016
74,1,8.4,228.5,9.55,0.75,1.7,1.6,3.7735,0.0275
75,1,7.7,130,10.45,0.75,2,1.2,4.0595,0.0235
76,1,8.15,146,8.4,0.75,1.95,4.9,4.3645,0.039
77,1,8.4,196,10.3,0.9,2,1.2,3.951,0.0255
81,1,8.485714286,120.8571429,10.81428571,0.757142857,2.742857143,3.428571429,3.212428571,0.025857143
82,1,8.3375,139.75,10.425,0.4875,3.2625,2.925,3.953625,0.028875
83,0,8.25,106.125,12.2875,0.725,2.9625,5.075,2.448875,0.024125
84,1,8.514285714,161.8571429,11.18571429,0.528571429,2.928571429,2.571428571,3.436571429,0.026
86,1,8.385714286,147.2857143,10.67142857,0.8,3.871428571,4.957142857,3.935,0.019142857
87,1,8.177777778,139.4444444,11.35555556,0.711111111,2.6,4.011111111,2.731777778,0.016555556
88,1,8.314285714,173.1428571,11.34285714,0.485714286,2.528571429,2.8,3.668285714,0.012428571
89,1,8.0625,128,11.05,0.75,2.875,6.675,2.95175,0.029375
90,1,8.671428571,164.7142857,11.57142857,0.628571429,2.585714286,7.642857143,3.580714286,0.031
92,1,8.3625,162.625,10.4625,0.4625,2.3625,1.9625,4.83075,0.0285
93,1,8.1,159.5,12.6,0.35,2.3,2.75,3.8455,0.0495
94,1,8.65,196.5,11.5,0.7,3.75,4.55,2.783,0.035
95,1,8.05,155.5,11.65,0.75,2.7,2.65,3.2795,0.033
96,1,7.85,188.5,10.75,1,1.8,2,3.0755,0.012
97,1,8.45,151.5,11.45,0.85,2.75,2.3,2.6935,0.0155
98,1,8.2,189,8.9,1.55,2.5,3.9,3.8765,0.0315
99,1,8.45,127,10.9,1.15,3.2,3.35,2.612,0.0115
100,1,8.2,168,9.45,1,2.2,3.55,3.1555,0.01
101,1,8.6,168.5,11.05,1.25,3.05,2.45,2.343,0.0135
103,1,8.4,162.5,12.5,0.75,2,5.65,2.5835,0.0215
106,0,8.2,179.5,9.6,0.5,2.2,7,2.95,0.0325
107,1,8.3,291,11.85,0.25,2.25,1.15,4.7025,0.0075
109,1,8.1,287,9.6,0.6,2.1,7.8,3.92,0.0255
110,1,7.65,322.5,10.8,0.75,1.1,1.25,3.181,0.01
111,1,8.35,278,11.25,0.45,1.55,1.8,2.809,0.0135
112,1,8,281,10,0.65,1.8,1.25,3.8195,0.026
113,0,8.45,252,11.55,0.8,1.95,1.25,2.832,0.0095
114,1,8.15,284.5,12.2,1,1.85,2.55,3.3365,0.006
